# zee-spec-madde-kaniti-1
# madde	ozet	durum	kanit	not
spec/01-sozcukleme.md#7da78144c1ad1213	- Kodlama **ZORUNLU** UTF-8'dir.	kismi	compiler/tests/golden_testi.rs::a08_homoglyph_reddedilir;compiler/tests/fuzz_korpusu_testi.rs::deterministik_utf8_uretimi_panik_uretmez	UTF-8 olmayan kaynak dosyanın açık reddi ayrı testte değil; lexer yalnız geçerli UTF-8 üzerinde fuzz/golden ile kanıtlı.
spec/01-sozcukleme.md#acff8a875784689a	- Türkçe/Latin dışı, Türkçe harfe benzeyen karakter **YASAK** (S028 — ho…	kanitli	compiler/tests/golden_testi.rs::a08_homoglyph_reddedilir	
spec/01-sozcukleme.md#38ac1b3260cd7c51	- Birleştirici imler (U+0300–U+036F) **YASAK** (S029): `ğ` birleşik kara…	kanitli	compiler/tests/golden_testi.rs::birlestirici_im_reddedilir;compiler/tests/morfoloji_testi.rs::unicode_normalizasyon_varyantlari_lexer_sinirinda_fail_closed_kalir	
spec/01-sozcukleme.md#5130003f8b8fa800	Bitişik virgül kuralı (TANIMLI — RFC-0013)	kanitli	compiler/tests/ondalik_testi.rs::bitisik_virgul_liste_ayraci_karismaz	
spec/01-sozcukleme.md#e44199f1ea42ad5e	`3,14` tek Ondalık sabittir; `3, 14` iki öğedir. `3 ,14` gibi boşluk-vir…	kanitli	compiler/tests/ondalik_testi.rs::bosluk_virgul_rakam_belirsizligi;compiler/tests/ondalik_testi.rs::ondalik_sabit_ve_basim;compiler/tests/kacis_ve_negatif_testi.rs::negatif_ondalik_isaret_dogru	
spec/01-sozcukleme.md#cbb3a46617d6d872	Satır sonu, girinti ve çıkıntı sözcükleyici tarafından üretilir; kuralla…	kanitli	compiler/tests/golden_testi.rs::sekme_girinti_reddedilir	
spec/02-dizim.md#a7439f24a1b61049	Yüklem-sonlu dağıtım (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::golden_01_merhaba_dunya;compiler/tests/ifade_grameri_testi.rs::tanimsiz_katman_bilesimi_sessizce_yorumlanmaz	
spec/02-dizim.md#62911beb8a6e39d4	zee'de gramer birimi **cümledir** ve cümlenin türünü **son kelimesi** be…	kanitli	compiler/tests/golden_testi.rs::a06_parantezli_blok_reddedilir;compiler/tests/ondalik_testi.rs::nokta_ondalik_yonlendirmesi;compiler/tests/kacis_ve_negatif_testi.rs::eksi_isareti_tek_basina_hala_hata	
spec/02-dizim.md#1f3a664d2def3ebd	Blok yapısı (TANIMLI — RFC-0003)	kanitli	compiler/tests/golden_testi.rs::golden_05_kosullar;compiler/tests/kapsam_testi.rs::ise_dallari_ayri_kapsam	
spec/02-dizim.md#6e523d93921b0543	- Girinti birimi **4 boşluktur**; sekme **YASAK** (S003).	kanitli	compiler/tests/golden_testi.rs::sekme_girinti_reddedilir;compiler/tests/bicimleyici_testi.rs::girinti_dort_bosluga_cekilir	
spec/02-dizim.md#fe0bd61f6615fe9d	- Blok açan satırdan sonra girintili en az bir satır **ZORUNLU** (S007).	kanitli	compiler/tests/parser_kurtarma_testi.rs::girintisiz_blok_basliklari_s007_ve_oneri_tasir;compiler/tests/parser_kurtarma_testi.rs::ic_blok_hatasi_gecerli_kardes_cumleyi_bloktan_disari_sizdirmaz;compiler/tests/lsp_testi.rs::lsp_girinti_sinirinda_kurtarip_bagimsiz_tanilari_sirayla_yayinlar	
spec/02-dizim.md#218b7d3be6574e46	- Bir satırın girintisi, açık bloklardan birinin hizasına inmiyorsa **YA…	kismi	compiler/tests/lsp_testi.rs::lsp_girinti_sinirinda_kurtarip_bagimsiz_tanilari_sirayla_yayinlar;compiler/tests/parser_kurtarma_testi.rs::ic_hata_derinligi_sizdirip_sonraki_ust_tanimi_bozmaz	S005 hizasız girinti için doğrudan kodlu olumsuz vaka yok; kurtarma testleri girinti sınırını dolaylı kapsar.
spec/02-dizim.md#63afe7627f3278d8	`işlem`, `yapı` ve `test` tanımları yalnız en dış düzeyde **ZORUNLU**dur…	kanitli	compiler/tests/birim_testi.rs::kullan_islem_icinde_yasak;compiler/tests/parser_kurtarma_testi.rs::ic_hata_derinligi_sizdirip_sonraki_ust_tanimi_bozmaz;compiler/tests/ozyineleme_testi.rs::karsilikli_ozyineleme	
spec/03-adlar-ve-kapsam.md#a9ea0ee1f420abd6	Morfolojik ad çözümü (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::ek_ayiklama_unsuz_yumusamasi;compiler/tests/golden_testi.rs::unlu_dusmesi_geri_cevrimi;compiler/tests/morfoloji_testi.rs::uretilen_her_tek_ek_ayni_koke_ve_ek_kimligine_cozulur	
spec/03-adlar-ve-kapsam.md#825cc9dc8fdbe065	Kurallar (TANIMLI):	kanitli	compiler/tests/golden_testi.rs::tanimsiz_ad_hatasi;compiler/tests/golden_testi.rs::belirsiz_ad_reddedilir;compiler/tests/morfoloji_testi.rs::belirsizlik_korpusu_tahmin_edilmeden_a002_olur	
spec/03-adlar-ve-kapsam.md#260a8f88fc0c951d	İleri morfoloji (TANIMLI — K-072/K-089)	kanitli	compiler/tests/lsp_testi.rs::yeniden_adlandirma_ekleri_giydirir;compiler/tests/morfoloji_testi.rs::kanonik_uretim_ornekleri_profil_icinde_degismez	
spec/03-adlar-ve-kapsam.md#81fd088439676675	Çözümlemenin simetriği `ek_uydur`/`ek_zinciri_uydur` üreteçleridir; soyu…	kanitli	compiler/tests/lsp_testi.rs::semantic_olarak_belirsiz_belgede_rename_tahmin_yapmaz;compiler/tests/lsp_testi.rs::tanima_git_ayni_yazimli_ayri_kapsami_symbolid_ile_ayirir;compiler/tests/lsp_testi.rs::yeniden_adlandirma_iki_katmanli_iyelik_zincirini_korur	
spec/03-adlar-ve-kapsam.md#bde7e8ebaf5ebf1f	Örtük çoğul (TANIMLI — K-013)	kanitli	compiler/tests/golden_testi.rs::ortuk_cogul_bulunamazsa_hata;compiler/tests/hir_modeli_testi.rs::ortuk_cogul_ifadesi_uydurma_bir_bir_yerine_dongu_adina_baglanir	
spec/03-adlar-ve-kapsam.md#06645934eacdd218	Blok kapsamı (TANIMLI — K-034)	kanitli	compiler/tests/kapsam_testi.rs::blokta_dogan_ad_disari_sizmaz;compiler/tests/kapsam_testi.rs::distaki_ada_atama_kalicidir;compiler/tests/kapsam_testi.rs::golge_yoktur_tur_korunur;compiler/tests/kapsam_testi.rs::dongu_degiskeni_govdeyle_olur	
spec/04-turler.md#e3395aaa6e324fe3	Değişmezlik ve çıkarım (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::tur_degisimi_reddedilir	
spec/04-turler.md#bec7aff13af1f6ac	- Tür bildirimi ifadelerde yazılmaz; tür ilk değerden çıkarılır. Yapı al…	kanitli	compiler/tests/golden_testi.rs::golden_22_yapilar;compiler/tests/golden_testi.rs::tur_degisimi_reddedilir;compiler/tests/koleksiyon_testi.rs::cikarimdan_sonra_karisik_tur_reddedilir	
spec/04-turler.md#09f0293d268f86b8	Boş koleksiyon çıkarımı (TANIMLI — K-045)	kanitli	compiler/tests/koleksiyon_testi.rs::metin_listesi_ilk_eklemeden_cikarilir;compiler/tests/koleksiyon_testi.rs::belirsiz_koleksiyon_okumalari_derleme_hatasi;compiler/tests/koleksiyon_testi.rs::bos_ve_somut_liste_uzlasir;compiler/tests/koleksiyon_testi.rs::mantiksal_ad_tek_basina_kosuldur;compiler/tests/koleksiyon_testi.rs::mantiksal_olmayan_ad_kosul_olamaz	
spec/04-turler.md#cfedf5a81bc6b548	Sayısal genişleme (TANIMLI)	kanitli	compiler/tests/ondalik_testi.rs::sayisal_karisim_listede_genisler;compiler/tests/ondalik_testi.rs::tam_kismi_ve_yuvarlanmisi;compiler/tests/acik_imza_testi.rs::acik_ondalik_listesi_runtime_degerlerini_de_genisletir;compiler/tests/cagri_cikarimi_testi.rs::liste_kapsayicisi_da_cagri_sirasindan_bagimsiz_genisler	
spec/04-turler.md#ddb24166fc605065	İşlem imzaları (TANIMLI — K-083/K-086 progressive disclosure)	kanitli	compiler/tests/acik_imza_testi.rs::acik_ve_cikarimli_parametre_karistirilamaz;compiler/tests/cagri_cikarimi_testi.rs::butun_cagri_kisitlari_ilk_sonuc_turlenmeden_once_birlestirilir	
spec/04-turler.md#8c66243a23919002	- `<ad> al` başlangıç biçiminde parametre türleri bütün erişilebilir çağ…	kismi	compiler/tests/cagri_cikarimi_testi.rs::birlesmeyen_cagri_turleri_iki_sirada_da_t017dir;compiler/tests/golden_testi.rs::golden_13_islem_parametreleri	T017 iki sırada kanıtlı; parametre sayısı uyuşmazlığı T015 için doğrudan olumsuz vaka yok.
spec/04-turler.md#7c7db61c0b70ca03	- Birim/paket üzerinden dışa açılan her işlem bütün parametrelerini ve `…	kanitli	compiler/tests/birim_testi.rs::disari_acik_islem_tam_sozlesme_ister;compiler/tests/acik_imza_testi.rs::bildirilen_ve_gercek_donus_turu_uyusmalidir;compiler/tests/acik_imza_testi.rs::bilinmeyen_donus_turu_t040tir	
spec/04-turler.md#788d5cd4c8a45d03	Dönüş birleşimi (TANIMLI — RFC-0008)	kanitli	compiler/tests/sonuc_donusu_testi.rs::basari_dali_sonuca_sarilir;compiler/tests/sonuc_donusu_testi.rs::sonuc_gecisi_cift_sarilmaz	
spec/04-turler.md#fcbe5c2f123026c3	- {T, `yok`} → Seçenek\<T\> (yalnız `yok` **YASAK**: içi belirlenemez, T…	kanitli	compiler/tests/golden_testi.rs::golden_15_secenek_turu;compiler/tests/ozyineleme_testi.rs::ozyinelemeli_tur_uyusmazligi	
spec/04-turler.md#9500ccaec4977824	- {T, `hatasını döndür`} → Sonuç\<T, Hata\> (kaynak gösterimi `Sonuç<T>`…	kanitli	compiler/tests/sonuc_donusu_testi.rs::yalniz_hata_donduren_islem_reddedilir;compiler/tests/sonuc_donusu_testi.rs::hata_dali_yakalanir	
spec/04-turler.md#ba3f65dc86353959	- İki farklı değer türü **YASAK** (T018).	kanitli	compiler/tests/sonuc_donusu_testi.rs::yok_ile_hata_karisimi_reddedilir;compiler/tests/ozyineleme_testi.rs::ozyinelemeli_tur_uyusmazligi	
spec/04-turler.md#d3a75270f27e0c60	Akış-duyarlı daraltma (TANIMLI — K-037)	kanitli	compiler/tests/daraltma_testi.rs::varsa_dalinda_deger_guvenli;compiler/tests/daraltma_testi.rs::basarisizsa_dalinda_hata_guvenli	
spec/04-turler.md#8c65aa2eab2952ae	`X varsa` / `X başarılıysa` / `X başarısızsa` kollarında ve bunların `de…	kanitli	compiler/tests/daraltma_testi.rs::korumasiz_erisim_t036;compiler/tests/daraltma_testi.rs::dal_disina_cikinca_koruma_biter;compiler/tests/daraltma_testi.rs::yoksa_nin_degilse_dali_da_guvenli;compiler/tests/golden_testi.rs::korumasiz_secenek_erisimi_derleme_hatasi	
spec/05-degerlendirme.md#d1a4e1e21aae6a9f	Yürütme modeli (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::golden_02_degiskenler;compiler/tests/ifade_grameri_testi.rs::cagri_aritmetikten_daha_siki_baglanir;compiler/tests/ag_ve_esz_testi.rs::scheduler_bekleme_noktalarinda_kaynak_sirasiyla_ilerler	
spec/05-degerlendirme.md#34005fc6f9af8bd6	Determinizm sözü (TANIMLI — RFC-0001 §7)	kanitli	compiler/tests/deterministik_io_profili_testi.rs::hermetik_io_ve_playground_ayni_gozlenebilir_profili_korur;compiler/tests/io_izi_testi.rs::program_gercek_io_izinden_dis_dunyasiz_aynen_oynatilir;compiler/tests/playground_testi.rs::tohum_deterministik	
spec/05-degerlendirme.md#fe6e27ff5eb829c3	Sayısal anlam (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::sifira_bolme_calisma_hatasi;compiler/tests/koleksiyon_testi.rs::kalan_kalibi_okul_kurali;compiler/tests/ondalik_testi.rs::sifir_bir_arti_sifir_iki_tam_olarak_sifir_uc;compiler/tests/ondalik_testi.rs::ondalik_bolme_yuvarlama;compiler/tests/ondalik_testi.rs::buyuk_ondaligi_tam_sayiya_daraltma_tasma_verir	
spec/05-degerlendirme.md#1a312eefecebbef1	Değer semantiği, gezme ve yazma (TANIMLI — K-093)	kanitli	compiler/tests/koleksiyon_testi.rs::gezmede_oge_degisikligi_listeye_yansir;compiler/tests/koleksiyon_testi.rs::gezilen_koleksiyonun_bicimi_sabittir;compiler/tests/koleksiyon_testi.rs::gezmede_deger_kopyalari_alias_olusturmaz	
spec/05-degerlendirme.md#cfb03516438461fa	Çağrı derinliği (TANIMLI — K-040)	kanitli	compiler/tests/ozyineleme_testi.rs::derinlik_korkulugu	
spec/05-degerlendirme.md#94089fa574c1533a	Program sonlanması (TANIMLI — K-069)	kanitli	compiler/tests/koleksiyon_testi.rs::cikis_kodu_tasinir	
spec/05-degerlendirme.md#4f3d90bf486a7c3a	`programı bitir` = çıkış kodu 0; `programı <n> ile bitir` süreç çıkış ko…	kanitli	compiler/tests/koleksiyon_testi.rs::cikis_kodu_tasinir;compiler/tests/ag_ve_esz_testi.rs::gorevde_programi_bitir_koku_koduyla_iptal_eder	
spec/05-degerlendirme.md#a15d6be626477b4e	Girdi bitişi (TANIMLI)	kismi	compiler/tests/golden_testi.rs::golden_03_girdi_alma;compiler/tests/playground_testi.rs::girdiler_satir_satir	C005 girdi bitişi için doğrudan olumsuz vaka yok; `programı bitir` erken sonlanması golden 03/28 ile kanıtlı.
spec/05-degerlendirme.md#de2cf5ffcac42477	Çalışma hatası da tanı sözleşmesine uyar (kod + mesaj + konum + öneri) v…	kanitli	compiler/tests/dene_ve_sure_testi.rs::sayiyi_almayi_dene_cokme_yerine_sonuc;compiler/tests/golden_testi.rs::sifira_bolme_calisma_hatasi;compiler/tests/golden_testi.rs::olmayan_dosyanin_satirlari_turkce_hata	
spec/06-hata-modeli.md#241736ea08785d11	Tanı sözleşmesi (TANIMLI — RFC-0010)	kanitli	compiler/tests/golden_testi.rs::tur_hatasi_turkce_ve_kodlu;compiler/tests/golden_testi.rs::rapor_ayrinti_satiri_icerir	
spec/06-hata-modeli.md#f110d54ed9267b90	Her tanı ŞU dördü taşır: **kod** (S/A/T/C/D/P/Ç + sayı), **Türkçe mesaj*…	kanitli	compiler/tests/golden_testi.rs::tur_hatasi_turkce_ve_kodlu;compiler/tests/golden_testi.rs::rapor_ayrinti_satiri_icerir;compiler/tests/golden_testi.rs::tani_json_cikti_ve_kacis;compiler/tests/panic_guvenligi_testi.rs::elle_kurulmus_gecersiz_ast_panik_yerine_tani_uretir;compiler/tests/playground_testi.rs::hata_raporu_turkce	
spec/06-hata-modeli.md#61ea5cb852d1a169	Sürümler arası kimlik (TANIMLI — RFC-0010 §2.2)	kanitli	compiler/tests/tani_kimligi_testi.rs::tani_kodlari_surumler_arasi_kimligini_korur;compiler/tests/katalog_testi.rs::katalog_kaynakla_birebir	
spec/06-hata-modeli.md#a9294baef8c40683	Çoklu tanı ve kurtarma (TANIMLI — RFC-0010 §2.1)	kanitli	compiler/tests/golden_testi.rs::coklu_tani_toplanir;compiler/tests/golden_testi.rs::coklu_tani_temiz_dosyada_bos;compiler/tests/parser_kurtarma_testi.rs::tani_seli_kaynak_sirasinda_yirmi_kayitla_sinirlanir;compiler/tests/parser_kurtarma_testi.rs::ic_blok_hatasi_gecerli_kardes_cumleyi_bloktan_disari_sizdirmaz	
spec/06-hata-modeli.md#8a282c567396d6c6	Hata sınıflandırması (TANIMLI — RFC-0008)	kanitli	compiler/tests/daraltma_testi.rs::korumasiz_erisim_t036;compiler/tests/dene_ve_sure_testi.rs::sayiyi_almayi_dene_cokme_yerine_sonuc;compiler/tests/yapilandirilmis_hata_testi.rs::eski_metin_hatasi_genel_koduyla_geriye_uyumludur	
spec/06-hata-modeli.md#c08a78f345e8701d	3. **Beklenmeyen çalışma hatası** → C tanısıyla durdurma (taşma C002, sı…	kanitli	compiler/tests/golden_testi.rs::sifira_bolme_calisma_hatasi;compiler/tests/ondalik_testi.rs::buyuk_ondaligi_tam_sayiya_daraltma_tasma_verir	
spec/06-hata-modeli.md#07f2fbbb302ce351	Test anlamı (TANIMLI)	kanitli	compiler/tests/golden_testi.rs::golden_30_testler;compiler/tests/golden_testi.rs::kalan_test_beklenen_bulunan_gosterir;compiler/tests/golden_testi.rs::calistir_testleri_atlar;compiler/tests/deterministik_io_profili_testi.rs::hermetik_io_ve_playground_ayni_gozlenebilir_profili_korur;compiler/tests/playground_testi.rs::testler_de_kosulur	
spec/07-birimler.md#c9a4694faa2a0e30	Model (TANIMLI)	kanitli	compiler/tests/birim_testi.rs::birimden_islem_kullanma;compiler/tests/birim_testi.rs::birimin_ust_duzey_cumleleri_calismaz;compiler/tests/birim_testi.rs::bulunamayan_birim;compiler/tests/birim_testi.rs::birim_testleri_dene_kapsaminda;compiler/tests/birim_testi.rs::birimin_aldigi_islem_ortuk_yeniden_acilmaz;compiler/tests/birim_testi.rs::disari_acik_islem_tam_sozlesme_ister	
spec/07-birimler.md#e0572949311ede64	Çakışma ve döngü (TANIMLI)	kanitli	compiler/tests/birim_testi.rs::ad_cakismasi_sessiz_golgelenmez	
spec/07-birimler.md#29753ade8a9251a6	- Birimlerin döngüsel kullanımı **YASAK** (A009); ortak tanımlar üçüncü …	kanitli	compiler/tests/birim_testi.rs::dongusel_kullanim_reddedilir	
spec/07-birimler.md#0a011edee9099e19	Yükleme anlamı (TANIMLI)	kanitli	compiler/tests/birim_testi.rs::birim_zinciri;compiler/tests/kitaplik_testi.rs::playgroundda_gomulu_birim_calisir;compiler/tests/ag_ve_esz_testi.rs::golden_31_birimler	
spec/07-birimler.md#b4104db574bb3d0d	Proje bildirimi (TANIMLI — K-076)	kanitli	compiler/tests/proje_testi.rs::bildirim_gecerli_zee_kaynagidir;compiler/tests/proje_testi.rs::bildirim_yalniz_tanimli_alanlari_kabul_eder;compiler/tests/proje_testi.rs::surum_uc_sayili_ve_giris_guvenli_olmali;compiler/tests/proje_testi.rs::cli_proje_klasorunu_calistirir_denetler_ve_dener;compiler/tests/proje_testi.rs::bicimle_komutu_projenin_butun_kaynaklarini_bicimler;compiler/tests/proje_testi.rs::eksik_alan_ogretici_tanidir	
spec/07-birimler.md#604dcfbbe0c8ef0a	Yerel paket ve kilit (TANIMLI — K-078)	kanitli	compiler/tests/proje_testi.rs::yerel_paketler_kokenli_yuklenir_ve_icerikle_kilitlenir;compiler/tests/proje_testi.rs::yerel_bagimlilik_dongusu_kilitlenmez;compiler/tests/proje_testi.rs::ekle_komutu_once_dogrular_sonra_bildirimi_ve_kilidi_gunceller;compiler/tests/proje_testi.rs::proje_dosya_siniri_sembolik_bag_kacisini_reddeder;compiler/tests/proje_testi.rs::paket_islemi_eksik_public_sozlesmeyle_alinamaz;compiler/tests/proje_testi.rs::bagimlilik_guncellemesi_yorumlari_korur_ve_yollari_siralar	
spec/07-birimler.md#48eeeb398878d243	Exact registry paketi ve kilit (TANIMLI — K-136)	kanitli	compiler/tests/proje_testi.rs::uzak_bagimlilik_exact_registry_root_kimligine_baglanir;compiler/tests/proje_testi.rs::uzak_bagimlilik_guncellemesi_yorumu_korur_siralar_ve_surumu_degistirir;compiler/src/registry/istemci/testler.rs::exact_registry_paketi_proje_grafigi_kilit_ve_offline_derlemeye_baglanir;compiler/src/cli/registry.rs::uzak_ekle_secenekleri_exact_pin_ve_gerekceleri_ayirir;compiler/src/cli/registry.rs::paketler_yenile_ve_cevrimdisi_birlikte_reddedilir	
spec/08-kalici-dosya.md#5cfdaec5f78d90a2	Normatif kaynak: RFC-0016, ADR-032. Durum: **TANIMLI** (K-084/K-128).	kanitli	compiler/tests/proje_testi.rs::gercek_io_iki_surecte_ekleme_kaybetmez;compiler/tests/proje_testi.rs::gercek_io_eylem_hatasinda_dosyalari_geri_alir;compiler/src/kalici_dosya.rs::yaz_ve_ekle_semantigi_korunur;compiler/src/kalici_dosya.rs::iki_yazar_satir_kaybetmez;compiler/src/kalici_dosya.rs::okuyucu_yalniz_eski_ya_da_yeni_butunu_gorur;compiler/src/kalici_dosya.rs::aniden_biten_surecin_kilidi_isletim_sistemi_birakir;compiler/src/kalici_dosya.rs::degisim_hatasi_eski_veriyi_korur_ve_geciciyi_siler	
spec/08-kalici-dosya.md#532a9e61aa1fe70f	- Dayanıklılık/kilit primitive'leri bulunmayan platform işlemi reddetmek…	kismi	compiler/src/kalici_dosya.rs::aniden_biten_surecin_kilidi_isletim_sistemi_birakir;compiler/src/kalici_dosya.rs::iki_yazar_satir_kaybetmez	Primitive'siz platform reddi yalnız desteklenen üç platformda derlenen koda bağlı; böyle bir platform CI matrisinde yok.
spec/08-kalici-dosya.md#3fc8b9db389813b9	Var olan hedef normal dosya olmak ZORUNDADIR. Sembolik bağ veya başka do…	kanitli	compiler/src/kalici_dosya.rs::sembolik_bag_hedefi_sessizce_normal_dosyaya_donusmez	
