# zee-core-freeze-beyanlari-1
# enforcement_parent	dff1823ab62fc4ed2f51cf2e6a7ece0b2d6f2e38
# commit	sinif	urun	is	reproducer	etkilenen_proje	minimalite	karar
cc2df180256b60c9ccee1e189aed8255a3415f8c	maintenance	-	-	-	-	Yalnız sabit toolchain Clippy uyarıları giderildi; grammar ve runtime davranışı değişmedi.	-
f9f5b46014d19a46998f617c5f7f3eb4b97e9182	dogfood-change	catli-itwise-admin	K-163	compiler/tests/postgresql_testi.rs	dogfood/catli-itwise-admin/postgresql-gereksinimi.dil	Yalnız gerçek Çatlı sayfa yaşam döngüsünün gerektirdiği parametreli sorgu, eylem transaction'ı ve migration yüzeyi eklendi; production TLS/pool kapsam dışı bırakıldı.	adr/060-postgresql-adaptor-siniri.md
8b24382247be05bc8a0886ba09dc2f161dab48e5	correctness	-	K-163	compiler/tests/fixtures/postgresql-recovery-v1.tsv	-	Yalnız transaction dışı idempotent okuma bir kez reconnect edilir; write, transaction içi okuma ve COMMIT otomatik tekrar edilmez.	adr/060-postgresql-adaptor-siniri.md
7b2093edad73d0c8367ca3345b17e291cb314457	correctness	-	K-163	compiler/tests/web_testi.rs	-	Transaction sınırı arızası web worker'ını düşürmeden 503 olur; başarısız eylem gövdesi ve write otomatik tekrar edilmez.	adr/060-postgresql-adaptor-siniri.md
cd0473d42e592417ccd3877a8d8af66e0088de4d	correctness	-	K-163	compiler/tests/web_testi.rs	-	COMMIT öncesi kesinti ile uygulanmış COMMIT sonrası yanıt kaybı aynı C027 olur; write tekrarlanmaz, worker yaşar ve uzlaştırma açıkça istenir.	adr/060-postgresql-adaptor-siniri.md
395b2e94d6ced29b63be07f8795db6167d35f3e0	correctness	-	K-163	compiler/tests/web_testi.rs	-	İstek içindeki atomik dosya yazma C013'ü ayrıntı sızdırmayan 503 olur; write tekrarlanmaz ve web worker sonraki isteği kabul eder.	adr/060-postgresql-adaptor-siniri.md
948ca9231f97be72653ce7e56aa76c5674ef4f9a	maintenance	-	-	-	-	Yalnız test enjeksiyon alanının yorumu kaldırılarak yorumlayıcı kök dosyası mevcut 2000 satırlık mimari bütçede tutuldu.	-
17a5186e30d20dbcf997e17f941e5ccde10085a8	dogfood-change	catli-itwise-admin	K-163	compiler/tests/dosya_yasam_dongusu_testi.rs	dogfood/catli-itwise-admin/binary-medya-gereksinimi.dil	Yalnız gerçek Çatlı medya yaşam döngüsünün aşamadığı binary akış, SHA-256 metadata, no-clobber yayın, idempotent silme ve orphan tarama yüzeyi eklendi; multipart ve production TLS/pool kapsam dışı bırakıldı.	adr/061-binary-yukleme-sahipligi.md
7c7d788ab621b38413f41edd72a0cbb9359594fb	dogfood-change	catli-itwise-admin	K-163	compiler/src/postgresql/havuz.rs	dogfood/catli-itwise-admin/postgresql-tls-havuz-gereksinimi.dil	Yalnız gerçek Çatlı production PostgreSQL ihtiyacının gerektirdiği pinned CA ve hostname TLS doğrulaması, worker başına dört bağlantılık sınırlı havuz, stale atımı, idle ve lifetime yenilemesi eklendi; write ve COMMIT otomatik retry kazanmadı.	adr/062-postgresql-tls-ve-havuz.md
8002a3f3c0e3bb1d47e5874f27ce4f7f0fc74f58	dogfood-change	catli-itwise-admin	K-163	compiler/tests/web_testi.rs	dogfood/catli-itwise-admin/readiness-gereksinimi.dil	Yalnız gerçek Çatlı readiness ve bulunamayan içerik ihtiyacı için kaynakta görünen 100..599 literal HTTP durumlu yanıt eklendi; dinamik status/header builder açılmadı.	adr/063-sabit-http-durumlu-yanit.md
c177d833dad1e26e5c30f9516f9a2054cc35aa80	maintenance	-	-	-	-	K-177 kritik işlev eğilim kapısı için istek_al ve gocleri_uygula davranış değiştirmeden bölündü; yeni özellik, tanı veya yüzey açılmadı.	-
4b9fec6304ccf7bbc6301ab881345fcee1f140e7	maintenance	-	-	-	-	K-167 uyumluluk kapısı için yalnız ölü internal tedarik cephesi silindi ve sürüm kimliği geliştirme serisine çekildi; yeni özellik, tanı veya kullanıcı yüzeyi açılmadı.	-
fef50b636d36c6c8d795c05c354ea73f5d2e8cae	maintenance	-	-	-	-	K-171 spec madde drift kapısı için yalnız bakım ikilisi ve testi eklendi; yeni dil özelliği, tanı veya kullanıcı yüzeyi açılmadı.	-
d587737a6baafe9018d42cefb0054f3d7ab99eb2	maintenance	-	-	-	-	K-172 için yalnız CLI adaptörünün mevcut davranışını kanıtlayan birim testleri eklendi; yeni özellik, tanı veya kullanıcı yüzeyi açılmadı.	-
75b0220ceecc4ea2190c69d0d42e874913a09078	maintenance	-	-	-	-	K-168 sürüm artefaktı için yalnız bakım ikilisi ve testleri eklendi; yeni dil özelliği, tanı veya kullanıcı komutu açılmadı.	-
